time,open,high,low,close
2023-11-21 13:00:00,1106.11,1110.23,1103.79,1108.66
2023-11-21 14:00:00,1108.63,1110.46,1105.97,1110.46
2023-11-22 09:00:00,1110.46,1113.64,1109.47,1112.38
2023-11-22 10:00:00,1112.27,1115.47,1111.07,1112.59
2023-11-22 11:00:00,1112.58,1112.69,1109.16,1109.33
2023-11-22 13:00:00,1108.44,1109.35,1103.26,1106.19
2023-11-22 14:00:00,1106.26,1113.83,1105.08,1113.82
2023-11-23 09:00:00,1113.82,1118.54,1113.82,1116.53
2023-11-23 10:00:00,1116.52,1116.83,1112.64,1113.63
2023-11-23 11:00:00,1113.23,1114.91,1112.52,1113.06
2023-11-23 13:00:00,1113.14,1115.98,1111.81,1112.81
2023-11-23 14:00:00,1112.82,1115.19,1088.49,1088.49
2023-11-24 09:00:00,1088.49,1091.71,1083.11,1085.25
2023-11-24 10:00:00,1085.29,1086.36,1080.07,1081.71
2023-11-24 11:00:00,1081.63,1086.7,1080.66,1086.34
2023-11-24 13:00:00,1085.88,1087.71,1080.06,1084.04
2023-11-24 14:00:00,1083.63,1095.61,1073.31,1095.61
2023-11-27 09:00:00,1095.61,1096.84,1093.09,1094.38
2023-11-27 10:00:00,1094.37,1094.45,1090.05,1090.16
2023-11-27 11:00:00,1090.15,1091.12,1088.78,1090.3
2023-11-27 13:00:00,1089.45,1091.64,1088.23,1090.92
2023-11-27 14:00:00,1091.07,1092.55,1085.69,1088.06
2023-11-28 09:00:00,1088.06,1089.39,1082.84,1084.12
2023-11-28 10:00:00,1084.21,1084.46,1078.91,1080.58
2023-11-28 11:00:00,1080.63,1080.65,1076.45,1078.14
